Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.696582926	0.731570568	0.000	22050.000	no overlap
1	Spectrogram 1	1	0.696582926	0.731570568	0.000	22050.000	no overlap
2	Waveform 1	1	1.085005281	1.121547929	0.000	22050.000	overlapping sound
2	Spectrogram 1	1	1.085005281	1.121547929	0.000	22050.000	overlapping sound
3	Waveform 1	1	1.458858675	1.491125055	0.000	22050.000	no overlap
3	Spectrogram 1	1	1.458858675	1.491125055	0.000	22050.000	no overlap
4	Waveform 1	1	1.587535445	1.639628156	0.000	22050.000	no overlap
4	Spectrogram 1	1	1.587535445	1.639628156	0.000	22050.000	no overlap
5	Waveform 1	1	1.691350559	1.743443270	0.000	22050.000	no overlap
5	Spectrogram 1	1	1.691350559	1.743443270	0.000	22050.000	no overlap
6	Waveform 1	1	1.795924732	1.858902486	0.000	22050.000	no overlap
6	Spectrogram 1	1	1.795924732	1.858902486	0.000	22050.000	no overlap
7	Waveform 1	1	1.902962871	1.964774371	0.000	22050.000	no overlap
7	Spectrogram 1	1	1.902962871	1.964774371	0.000	22050.000	no overlap
8	Waveform 1	1	1.996652000	2.073624811	0.000	22050.000	no overlap
8	Spectrogram 1	1	1.996652000	2.073624811	0.000	22050.000	no overlap
9	Waveform 1	1	2.099140562	2.153177031	0.000	22050.000	no overlap
9	Spectrogram 1	1	2.099140562	2.153177031	0.000	22050.000	no overlap
10	Waveform 1	1	2.162118317	2.279521291	0.000	22050.000	no overlap
10	Spectrogram 1	1	2.162118317	2.279521291	0.000	22050.000	no overlap
11	Waveform 1	1	2.317729967	2.384595237	0.000	22050.000	no overlap
11	Spectrogram 1	1	2.317729967	2.384595237	0.000	22050.000	no overlap
12	Waveform 1	1	2.398201542	2.452238010	0.000	22050.000	no overlap
12	Spectrogram 1	1	2.398201542	2.452238010	0.000	22050.000	no overlap
13	Waveform 1	1	2.487766515	2.580678141	0.000	22050.000	no overlap
13	Spectrogram 1	1	2.487766515	2.580678141	0.000	22050.000	no overlap
14	Waveform 1	1	2.613722024	2.674367270	0.000	22050.000	no overlap
14	Spectrogram 1	1	2.613722024	2.674367270	0.000	22050.000	no overlap
15	Waveform 1	1	2.691583360	2.782162476	0.000	22050.000	no overlap
15	Spectrogram 1	1	2.691583360	2.782162476	0.000	22050.000	no overlap
16	Waveform 1	1	2.811318844	2.865355312	0.000	22050.000	no overlap
16	Spectrogram 1	1	2.811318844	2.865355312	0.000	22050.000	no overlap
17	Waveform 1	1	2.875074102	2.994032083	0.000	22050.000	no overlap
17	Spectrogram 1	1	2.875074102	2.994032083	0.000	22050.000	no overlap
18	Waveform 1	1	3.034476488	3.099009249	0.000	22050.000	no overlap
18	Spectrogram 1	1	3.034476488	3.099009249	0.000	22050.000	no overlap
19	Waveform 1	1	3.113393057	3.168984532	0.000	22050.000	no overlap
19	Spectrogram 1	1	3.113393057	3.168984532	0.000	22050.000	no overlap
20	Waveform 1	1	3.205138428	3.299605060	0.000	22050.000	no overlap
20	Spectrogram 1	1	3.205138428	3.299605060	0.000	22050.000	no overlap
21	Waveform 1	1	3.328318980	3.391296734	0.000	22050.000	no overlap
21	Spectrogram 1	1	3.328318980	3.391296734	0.000	22050.000	no overlap
22	Waveform 1	1	3.402959282	3.501313429	0.000	22050.000	no overlap
22	Spectrogram 1	1	3.402959282	3.501313429	0.000	22050.000	no overlap
23	Waveform 1	1	3.528526039	3.584117514	0.000	22050.000	no overlap
23	Spectrogram 1	1	3.528526039	3.584117514	0.000	22050.000	no overlap
24	Waveform 1	1	3.591892546	3.712794284	0.000	22050.000	no overlap
24	Spectrogram 1	1	3.591892546	3.712794284	0.000	22050.000	no overlap
25	Waveform 1	1	3.752734934	3.817656447	0.000	22050.000	no overlap
25	Spectrogram 1	1	3.752734934	3.817656447	0.000	22050.000	no overlap
26	Waveform 1	1	3.830874000	3.888409233	0.000	22050.000	no overlap
26	Spectrogram 1	1	3.830874000	3.888409233	0.000	22050.000	no overlap
27	Waveform 1	1	3.925243853	4.021654243	0.000	22050.000	no overlap
27	Spectrogram 1	1	3.925243853	4.021654243	0.000	22050.000	no overlap
28	Waveform 1	1	4.050810611	4.113010863	0.000	22050.000	no overlap
28	Spectrogram 1	1	4.050810611	4.113010863	0.000	22050.000	no overlap
29	Waveform 1	1	4.126228416	4.225360067	0.000	22050.000	no overlap
29	Spectrogram 1	1	4.126228416	4.225360067	0.000	22050.000	no overlap
30	Waveform 1	1	4.251490376	4.308248105	0.000	22050.000	no overlap
30	Spectrogram 1	1	4.251490376	4.308248105	0.000	22050.000	no overlap
31	Waveform 1	1	4.316023137	4.434592366	0.000	22050.000	no overlap
31	Spectrogram 1	1	4.316023137	4.434592366	0.000	22050.000	no overlap
32	Waveform 1	1	4.479702010	4.543846019	0.000	22050.000	no overlap
32	Spectrogram 1	1	4.479702010	4.543846019	0.000	22050.000	no overlap
33	Waveform 1	1	4.557063572	4.611877544	0.000	22050.000	no overlap
33	Spectrogram 1	1	4.557063572	4.611877544	0.000	22050.000	no overlap
34	Waveform 1	1	4.648808943	4.748718097	0.000	22050.000	no overlap
34	Spectrogram 1	1	4.648808943	4.748718097	0.000	22050.000	no overlap
