Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	2.422060724	2.514252430	0.000	22050.000	no overlap
1	Spectrogram 1	1	2.422060724	2.514252430	0.000	22050.000	no overlap
2	Waveform 1	1	2.792939077	2.885717991	0.000	22050.000	no overlap
2	Spectrogram 1	1	2.792939077	2.885717991	0.000	22050.000	no overlap
3	Waveform 1	1	3.103572278	3.196351192	0.000	22050.000	no overlap
3	Spectrogram 1	1	3.103572278	3.196351192	0.000	22050.000	no overlap
4	Waveform 1	1	3.300724750	3.471602371	0.000	22050.000	no overlap
4	Spectrogram 1	1	3.300724750	3.471602371	0.000	22050.000	no overlap
5	Waveform 1	1	3.542719653	3.633736942	0.000	22050.000	no overlap
5	Spectrogram 1	1	3.542719653	3.633736942	0.000	22050.000	no overlap
6	Waveform 1	1	3.677392593	3.797183091	0.000	22050.000	no overlap
6	Spectrogram 1	1	3.677392593	3.797183091	0.000	22050.000	no overlap
7	Waveform 1	1	3.853555089	3.994485086	0.000	22050.000	no overlap
7	Spectrogram 1	1	3.853555089	3.994485086	0.000	22050.000	no overlap
8	Waveform 1	1	4.646329346	4.740869886	0.000	22050.000	no overlap
8	Spectrogram 1	1	4.646329346	4.740869886	0.000	22050.000	no overlap
9	Waveform 1	1	4.852439466	5.021555462	0.000	22050.000	no overlap
9	Spectrogram 1	1	4.852439466	5.021555462	0.000	22050.000	no overlap
10	Waveform 1	1	5.080751526	5.177640898	0.000	22050.000	no overlap
10	Spectrogram 1	1	5.080751526	5.177640898	0.000	22050.000	no overlap
11	Waveform 1	1	5.222855939	5.344995269	0.000	22050.000	no overlap
11	Spectrogram 1	1	5.222855939	5.344995269	0.000	22050.000	no overlap
12	Waveform 1	1	5.400527915	5.539696286	0.000	22050.000	no overlap
12	Spectrogram 1	1	5.400527915	5.539696286	0.000	22050.000	no overlap
13	Waveform 1	1	6.530148818	6.621166108	0.000	22050.000	no overlap
13	Spectrogram 1	1	6.530148818	6.621166108	0.000	22050.000	no overlap
14	Waveform 1	1	6.736771054	6.906474258	0.000	22050.000	no overlap
14	Spectrogram 1	1	6.736771054	6.906474258	0.000	22050.000	no overlap
15	Waveform 1	1	6.975764840	7.060322838	0.000	22050.000	no overlap
15	Spectrogram 1	1	6.975764840	7.060322838	0.000	22050.000	no overlap
16	Waveform 1	1	7.101427420	7.223566751	0.000	22050.000	no overlap
16	Spectrogram 1	1	7.101427420	7.223566751	0.000	22050.000	no overlap
17	Waveform 1	1	7.278301921	7.423929584	0.000	22050.000	no overlap
17	Spectrogram 1	1	7.278301921	7.423929584	0.000	22050.000	no overlap
18	Waveform 1	1	7.513185249	7.680539620	0.000	22050.000	no overlap
18	Spectrogram 1	1	7.513185249	7.680539620	0.000	22050.000	no overlap
19	Waveform 1	1	7.751100893	7.841530974	0.000	22050.000	no overlap
19	Spectrogram 1	1	7.751100893	7.841530974	0.000	22050.000	no overlap
20	Waveform 1	1	7.889094848	8.010646970	0.000	22050.000	no overlap
20	Spectrogram 1	1	7.889094848	8.010646970	0.000	22050.000	no overlap
21	Waveform 1	1	8.064082927	8.207361757	0.000	22050.000	no overlap
21	Spectrogram 1	1	8.064082927	8.207361757	0.000	22050.000	no overlap
