Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	0.346657136	0.406053208	0.000	22050.000	no overlap
1	Spectrogram 1	1	0.346657136	0.406053208	0.000	22050.000	no overlap
2	Waveform 1	1	0.465932174	0.529191405	0.000	22050.000	no overlap
2	Spectrogram 1	1	0.465932174	0.529191405	0.000	22050.000	no overlap
3	Waveform 1	1	0.941624295	0.999571682	0.000	22050.000	no overlap
3	Spectrogram 1	1	0.941624295	0.999571682	0.000	22050.000	no overlap
4	Waveform 1	1	1.043032222	1.104842768	0.000	22050.000	no overlap
4	Spectrogram 1	1	1.043032222	1.104842768	0.000	22050.000	no overlap
5	Waveform 1	1	1.163755945	1.227980965	0.000	22050.000	no overlap
5	Spectrogram 1	1	1.163755945	1.227980965	0.000	22050.000	no overlap
6	Waveform 1	1	3.202455510	3.256539738	0.000	22050.000	no overlap
6	Spectrogram 1	1	3.202455510	3.256539738	0.000	22050.000	no overlap
7	Waveform 1	1	3.805629357	3.869854378	0.000	22050.000	no overlap
7	Spectrogram 1	1	3.805629357	3.869854378	0.000	22050.000	no overlap
8	Waveform 1	1	3.922007026	3.982368888	0.000	22050.000	no overlap
8	Spectrogram 1	1	3.922007026	3.982368888	0.000	22050.000	no overlap
9	Waveform 1	1	4.045145223	4.118062352	0.000	22050.000	no overlap
9	Spectrogram 1	1	4.045145223	4.118062352	0.000	22050.000	no overlap
10	Waveform 1	1	4.995111010	5.056438662	0.000	22050.000	no overlap
10	Spectrogram 1	1	4.995111010	5.056438662	0.000	22050.000	no overlap
11	Waveform 1	1	5.103279466	5.168953171	0.000	22050.000	no overlap
11	Spectrogram 1	1	5.103279466	5.168953171	0.000	22050.000	no overlap
12	Waveform 1	1	5.219174240	5.279536101	0.000	22050.000	no overlap
12	Spectrogram 1	1	5.219174240	5.279536101	0.000	22050.000	no overlap
13	Waveform 1	1	5.318650588	5.411366407	0.000	22050.000	no overlap
13	Spectrogram 1	1	5.318650588	5.411366407	0.000	22050.000	no overlap
14	Waveform 1	1	5.443199172	5.540743940	0.000	22050.000	no overlap
14	Spectrogram 1	1	5.443199172	5.540743940	0.000	22050.000	no overlap
15	Waveform 1	1	5.574058043	5.731209245	0.000	22050.000	no overlap
15	Spectrogram 1	1	5.574058043	5.731209245	0.000	22050.000	no overlap
16	Waveform 1	1	5.777564259	5.875591922	0.000	22050.000	no overlap
16	Spectrogram 1	1	5.777564259	5.875591922	0.000	22050.000	no overlap
17	Waveform 1	1	5.906738804	6.063539304	0.000	22050.000	no overlap
17	Spectrogram 1	1	5.906738804	6.063539304	0.000	22050.000	no overlap
18	Waveform 1	1	6.101828501	6.228588410	0.000	22050.000	no overlap
18	Spectrogram 1	1	6.101828501	6.228588410	0.000	22050.000	no overlap
19	Waveform 1	1	6.260710010	6.390367288	0.000	22050.000	no overlap
19	Spectrogram 1	1	6.260710010	6.390367288	0.000	22050.000	no overlap
