Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
1	Waveform 1	1	3.267566223	3.406340509	0.000	22050.000	no overlap
1	Spectrogram 1	1	3.267566223	3.406340509	0.000	22050.000	no overlap
2	Waveform 1	1	3.441659190	3.577933038	0.000	22050.000	no overlap
2	Spectrogram 1	1	3.441659190	3.577933038	0.000	22050.000	no overlap
3	Waveform 1	1	6.314102980	6.452564712	0.000	22050.000	no overlap
3	Spectrogram 1	1	6.314102980	6.452564712	0.000	22050.000	no overlap
4	Waveform 1	1	6.491634049	6.625720014	0.000	22050.000	no overlap
4	Spectrogram 1	1	6.491634049	6.625720014	0.000	22050.000	no overlap
5	Waveform 1	1	9.360207881	9.515860120	0.000	22050.000	overlapping sound
5	Spectrogram 1	1	9.360207881	9.515860120	0.000	22050.000	overlapping sound
6	Waveform 1	1	10.844004864	10.983716814	0.000	22050.000	no overlap
6	Spectrogram 1	1	10.844004864	10.983716814	0.000	22050.000	no overlap
7	Waveform 1	1	11.015909948	11.153434015	0.000	22050.000	no overlap
7	Spectrogram 1	1	11.015909948	11.153434015	0.000	22050.000	no overlap
8	Waveform 1	1	11.193948740	11.329597479	0.000	22050.000	no overlap
8	Spectrogram 1	1	11.193948740	11.329597479	0.000	22050.000	no overlap
9	Waveform 1	1	12.329072409	12.368141746	0.000	22050.000	no overlap
9	Spectrogram 1	1	12.329072409	12.368141746	0.000	22050.000	no overlap
10	Waveform 1	1	12.432840569	12.474410344	0.000	22050.000	no overlap
10	Spectrogram 1	1	12.432840569	12.474410344	0.000	22050.000	no overlap
11	Waveform 1	1	12.601503033	12.641197480	0.000	22050.000	no overlap
11	Spectrogram 1	1	12.601503033	12.641197480	0.000	22050.000	no overlap
12	Waveform 1	1	12.710897177	12.749653960	0.000	22050.000	no overlap
12	Spectrogram 1	1	12.710897177	12.749653960	0.000	22050.000	no overlap
13	Waveform 1	1	12.800658442	12.871608359	0.000	22050.000	no overlap
13	Spectrogram 1	1	12.800658442	12.871608359	0.000	22050.000	no overlap
14	Waveform 1	1	12.907864704	12.977876956	0.000	22050.000	no overlap
14	Spectrogram 1	1	12.907864704	12.977876956	0.000	22050.000	no overlap
15	Waveform 1	1	13.013138267	13.083775629	0.000	22050.000	no overlap
15	Spectrogram 1	1	13.013138267	13.083775629	0.000	22050.000	no overlap
16	Waveform 1	1	13.112218107	13.145661459	0.000	22050.000	no overlap
16	Spectrogram 1	1	13.112218107	13.145661459	0.000	22050.000	no overlap
17	Waveform 1	1	13.171916054	13.372229621	0.000	22050.000	no overlap
17	Spectrogram 1	1	13.171916054	13.372229621	0.000	22050.000	no overlap
18	Waveform 1	1	13.408071001	13.478708363	0.000	22050.000	no overlap
18	Spectrogram 1	1	13.408071001	13.478708363	0.000	22050.000	no overlap
19	Waveform 1	1	13.514339598	13.566223678	0.000	22050.000	no overlap
19	Spectrogram 1	1	13.514339598	13.566223678	0.000	22050.000	no overlap
20	Waveform 1	1	13.593728491	13.663740744	0.000	22050.000	no overlap
20	Spectrogram 1	1	13.593728491	13.663740744	0.000	22050.000	no overlap
21	Waveform 1	1	13.749575900	13.788957792	0.000	22050.000	no overlap
21	Spectrogram 1	1	13.749575900	13.788957792	0.000	22050.000	no overlap
22	Waveform 1	1	13.818963043	13.967113969	0.000	22050.000	no overlap
22	Spectrogram 1	1	13.818963043	13.967113969	0.000	22050.000	no overlap
23	Waveform 1	1	14.003370314	14.075883004	0.000	22050.000	no overlap
23	Spectrogram 1	1	14.003370314	14.075883004	0.000	22050.000	no overlap
24	Waveform 1	1	14.109191276	14.162638129	0.000	22050.000	no overlap
24	Spectrogram 1	1	14.109191276	14.162638129	0.000	22050.000	no overlap
25	Waveform 1	1	14.186392286	14.267031398	0.000	22050.000	no overlap
25	Spectrogram 1	1	14.186392286	14.267031398	0.000	22050.000	no overlap
26	Waveform 1	1	14.368025614	14.432724436	0.000	22050.000	no overlap
26	Spectrogram 1	1	14.368025614	14.432724436	0.000	22050.000	no overlap
27	Waveform 1	1	14.461792023	14.498986032	0.000	22050.000	no overlap
27	Spectrogram 1	1	14.461792023	14.498986032	0.000	22050.000	no overlap
28	Waveform 1	1	14.523094964	14.727307785	0.000	22050.000	no overlap
28	Spectrogram 1	1	14.523094964	14.727307785	0.000	22050.000	no overlap
29	Waveform 1	1	14.761785274	14.832950348	0.000	22050.000	no overlap
29	Spectrogram 1	1	14.761785274	14.832950348	0.000	22050.000	no overlap
30	Waveform 1	1	14.869637932	14.920470128	0.000	22050.000	no overlap
30	Spectrogram 1	1	14.869637932	14.920470128	0.000	22050.000	no overlap
31	Waveform 1	1	14.951057315	15.023106427	0.000	22050.000	no overlap
31	Spectrogram 1	1	14.951057315	15.023106427	0.000	22050.000	no overlap
32	Waveform 1	1	15.110626208	15.152618022	0.000	22050.000	no overlap
32	Spectrogram 1	1	15.110626208	15.152618022	0.000	22050.000	no overlap
33	Waveform 1	1	15.180805939	15.331534449	0.000	22050.000	no overlap
33	Spectrogram 1	1	15.180805939	15.331534449	0.000	22050.000	no overlap
34	Waveform 1	1	15.365569920	15.440713165	0.000	22050.000	no overlap
