Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Annotation
34	Spectrogram 1	1	15.365569920	15.440713165	0.000	22050.000	no overlap
35	Waveform 1	1	15.474306616	15.526464869	0.000	22050.000	no overlap
35	Spectrogram 1	1	15.474306616	15.526464869	0.000	22050.000	no overlap
36	Waveform 1	1	15.550775919	15.628571280	0.000	22050.000	no overlap
36	Spectrogram 1	1	15.550775919	15.628571280	0.000	22050.000	no overlap
37	Waveform 1	1	15.722380215	15.790009136	0.000	22050.000	no overlap
37	Spectrogram 1	1	15.722380215	15.790009136	0.000	22050.000	no overlap
38	Waveform 1	1	15.818298358	15.855869981	0.000	22050.000	no overlap
38	Spectrogram 1	1	15.818298358	15.855869981	0.000	22050.000	no overlap
39	Waveform 1	1	15.876202859	16.082183756	0.000	22050.000	no overlap
39	Spectrogram 1	1	15.876202859	16.082183756	0.000	22050.000	no overlap
40	Waveform 1	1	16.116559940	16.189051072	0.000	22050.000	no overlap
40	Spectrogram 1	1	16.116559940	16.189051072	0.000	22050.000	no overlap
41	Waveform 1	1	16.225738656	16.276128833	0.000	22050.000	no overlap
41	Spectrogram 1	1	16.225738656	16.276128833	0.000	22050.000	no overlap
42	Waveform 1	1	16.306186131	16.380887358	0.000	22050.000	no overlap
42	Spectrogram 1	1	16.306186131	16.380887358	0.000	22050.000	no overlap
43	Waveform 1	1	16.477276226	16.517057944	0.000	22050.000	no overlap
43	Spectrogram 1	1	16.477276226	16.517057944	0.000	22050.000	no overlap
44	Waveform 1	1	16.547999281	16.699169810	0.000	22050.000	no overlap
44	Spectrogram 1	1	16.547999281	16.699169810	0.000	22050.000	no overlap
45	Waveform 1	1	16.732763261	16.804370354	0.000	22050.000	no overlap
45	Spectrogram 1	1	16.732763261	16.804370354	0.000	22050.000	no overlap
46	Waveform 1	1	16.841898501	16.893172716	0.000	22050.000	no overlap
46	Spectrogram 1	1	16.841898501	16.893172716	0.000	22050.000	no overlap
47	Waveform 1	1	16.920577900	16.997489222	0.000	22050.000	no overlap
47	Spectrogram 1	1	16.920577900	16.997489222	0.000	22050.000	no overlap
48	Waveform 1	1	18.896490279	18.946438436	0.000	22050.000	overlapping sound
48	Spectrogram 1	1	18.896490279	18.946438436	0.000	22050.000	overlapping sound
