Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Frame Duration	Occupancy	Reason
1	Waveform 1	1	0.371507937	0.423752834	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	0.3715	9	1.0000	Detection
1	Spectrogram 1	1	0.371507937	0.423752834	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	0.3715	9	1.0000	Detection
2	Waveform 1	1	1.085521542	1.178401361	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	1.0855	16	1.0000	Detection
2	Spectrogram 1	1	1.085521542	1.178401361	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	1.0855	16	1.0000	Detection
3	Waveform 1	1	3.186927438	3.192732426	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.1869	1	1.0000	Too short
3	Spectrogram 1	1	3.186927438	3.192732426	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.1869	1	1.0000	Too short
4	Waveform 1	1	3.221757370	3.262392290	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.2218	7	1.0000	Detection
4	Spectrogram 1	1	3.221757370	3.262392290	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.2218	7	1.0000	Detection
5	Waveform 1	1	3.610691610	3.668741497	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.6107	10	1.0000	Detection
5	Spectrogram 1	1	3.610691610	3.668741497	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.6107	10	1.0000	Detection
6	Waveform 1	1	5.085158730	5.172233560	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	5.0851	15	0.8667	Detection
6	Spectrogram 1	1	5.085158730	5.172233560	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	5.0851	15	0.8667	Detection
7	Waveform 1	1	5.595997732	5.619217687	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	5.5960	4	1.0000	Too short
7	Spectrogram 1	1	5.595997732	5.619217687	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	5.5960	4	1.0000	Too short
8	Waveform 1	1	6.559625850	6.693140590	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.5596	23	0.9565	Detection
8	Spectrogram 1	1	6.559625850	6.693140590	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.5596	23	0.9565	Detection
9	Waveform 1	1	6.855680272	6.919535147	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.8557	11	1.0000	Detection
9	Spectrogram 1	1	6.855680272	6.919535147	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.8557	11	1.0000	Detection
10	Waveform 1	1	7.941213152	7.970238095	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	7.9412	5	0.8000	Too short
10	Spectrogram 1	1	7.941213152	7.970238095	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	7.9412	5	0.8000	Too short
11	Waveform 1	1	8.312732426	8.394002268	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	8.3127	14	0.9286	Detection
11	Spectrogram 1	1	8.312732426	8.394002268	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	8.3127	14	0.9286	Detection
12	Waveform 1	1	8.753911565	8.765521542	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	8.7539	2	1.0000	Too short
12	Spectrogram 1	1	8.753911565	8.765521542	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	8.7539	2	1.0000	Too short
13	Waveform 1	1	9.189285714	9.299580499	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	9.1893	19	1.0000	Detection
13	Spectrogram 1	1	9.189285714	9.299580499	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	9.1893	19	1.0000	Detection
14	Waveform 1	1	9.822029478	9.932324263	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	9.8220	19	1.0000	Detection
14	Spectrogram 1	1	9.822029478	9.932324263	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	9.8220	19	1.0000	Detection
15	Waveform 1	1	10.100668934	10.141303855	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.1007	7	1.0000	Detection
15	Spectrogram 1	1	10.100668934	10.141303855	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.1007	7	1.0000	Detection
16	Waveform 1	1	10.251598639	10.274818594	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.2516	4	1.0000	Too short
16	Spectrogram 1	1	10.251598639	10.274818594	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.2516	4	1.0000	Too short
17	Waveform 1	1	10.379308390	10.826292517	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.3793	77	0.9610	Detection
17	Spectrogram 1	1	10.379308390	10.826292517	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.3793	77	0.9610	Detection
18	Waveform 1	1	10.849512472	10.855317460	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.8495	1	1.0000	Too short
18	Spectrogram 1	1	10.849512472	10.855317460	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.8495	1	1.0000	Too short
19	Waveform 1	1	10.930782313	10.936587302	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.9308	1	1.0000	Too short
19	Spectrogram 1	1	10.930782313	10.936587302	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.9308	1	1.0000	Too short
20	Waveform 1	1	10.977222222	10.983027211	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.9772	1	1.0000	Too short
20	Spectrogram 1	1	10.977222222	10.983027211	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.9772	1	1.0000	Too short
21	Waveform 1	1	11.012052154	11.017857143	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	11.0121	1	1.0000	Too short
21	Spectrogram 1	1	11.012052154	11.017857143	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	11.0121	1	1.0000	Too short
22	Waveform 1	1	11.099126984	11.104931973	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	11.0991	1	1.0000	Too short
22	Spectrogram 1	1	11.099126984	11.104931973	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	11.0991	1	1.0000	Too short
23	Waveform 1	1	11.993095238	12.027925170	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	11.9931	6	1.0000	Too short
23	Spectrogram 1	1	11.993095238	12.027925170	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	11.9931	6	1.0000	Too short
24	Waveform 1	1	12.312369615	12.416859410	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	12.3124	18	1.0000	Detection
24	Spectrogram 1	1	12.312369615	12.416859410	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	12.3124	18	1.0000	Detection
25	Waveform 1	1	13.781031746	13.868106576	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	13.7810	15	1.0000	Detection
25	Spectrogram 1	1	13.781031746	13.868106576	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	13.7810	15	1.0000	Detection
26	Waveform 1	1	14.593730159	14.599535147	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	14.5937	1	1.0000	Too short
26	Spectrogram 1	1	14.593730159	14.599535147	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	14.5937	1	1.0000	Too short
27	Waveform 1	1	15.145204082	15.151009070	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.1452	1	1.0000	Too short
27	Spectrogram 1	1	15.145204082	15.151009070	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.1452	1	1.0000	Too short
28	Waveform 1	1	15.319353741	15.400623583	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.3194	14	1.0000	Detection
28	Spectrogram 1	1	15.319353741	15.400623583	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.3194	14	1.0000	Detection
29	Waveform 1	1	15.714092971	15.795362812	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.7141	14	1.0000	Detection
29	Spectrogram 1	1	15.714092971	15.795362812	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.7141	14	1.0000	Detection
30	Waveform 1	1	15.934682540	16.015952381	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.9347	14	1.0000	Detection
30	Spectrogram 1	1	15.934682540	16.015952381	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.9347	14	1.0000	Detection
31	Waveform 1	1	16.114637188	16.195907029	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.1146	14	1.0000	Detection
31	Spectrogram 1	1	16.114637188	16.195907029	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.1146	14	1.0000	Detection
32	Waveform 1	1	16.271371882	16.358446712	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.2714	15	1.0000	Detection
32	Spectrogram 1	1	16.271371882	16.358446712	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.2714	15	1.0000	Detection
33	Waveform 1	1	16.381666667	16.555816327	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.3817	30	1.0000	Detection
33	Spectrogram 1	1	16.381666667	16.555816327	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.3817	30	1.0000	Detection
34	Waveform 1	1	16.596451247	16.700941043	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.5965	18	1.0000	Detection
34	Spectrogram 1	1	16.596451247	16.700941043	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.5965	18	1.0000	Detection
35	Waveform 1	1	16.724160998	16.863480726	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.7242	24	1.0000	Detection
35	Spectrogram 1	1	16.724160998	16.863480726	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.7242	24	1.0000	Detection
36	Waveform 1	1	16.892505669	17.055045351	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.8925	28	1.0000	Detection
36	Spectrogram 1	1	16.892505669	17.055045351	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.8925	28	1.0000	Detection
37	Waveform 1	1	17.136315193	17.310464853	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.1363	30	1.0000	Detection
37	Spectrogram 1	1	17.136315193	17.310464853	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.1363	30	1.0000	Detection
38	Waveform 1	1	17.351099773	17.623934240	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.3511	47	0.9362	Detection
38	Spectrogram 1	1	17.351099773	17.623934240	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.3511	47	0.9362	Detection
39	Waveform 1	1	17.652959184	17.821303855	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.6530	29	1.0000	Detection
39	Spectrogram 1	1	17.652959184	17.821303855	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.6530	29	1.0000	Detection
40	Waveform 1	1	18.848786848	18.930056689	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	18.8488	14	1.0000	Detection
40	Spectrogram 1	1	18.848786848	18.930056689	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	18.8488	14	1.0000	Detection
41	Waveform 1	1	18.964886621	19.139036281	800.0	15000.0	Ag13_43421.27975590_11_17_7_46_15.wav	18.9649	30	1.0000	Detection
