Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Frame Duration	Occupancy	Reason
1	Waveform 1	1	0.371507937	0.423752834	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	0.3715		1.0000	
1	Spectrogram 1	1	0.371507937	0.423752834	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	0.3715		1.0000	
2	Waveform 1	1	1.091326531	1.178401361	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	1.0913		1.0000	
2	Spectrogram 1	1	1.091326531	1.178401361	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	1.0913		1.0000	
3	Waveform 1	1	3.221757370	3.262392290	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.2218		1.0000	
3	Spectrogram 1	1	3.221757370	3.262392290	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.2218		1.0000	
4	Waveform 1	1	3.610691610	3.668741497	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.6107		1.0000	
4	Spectrogram 1	1	3.610691610	3.668741497	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.6107		1.0000	
5	Waveform 1	1	5.108378685	5.172233560	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	5.1084		1.0000	
5	Spectrogram 1	1	5.108378685	5.172233560	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	5.1084		1.0000	
6	Waveform 1	1	6.559625850	6.681530612	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.5596		1.0000	
6	Spectrogram 1	1	6.559625850	6.681530612	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.5596		1.0000	
7	Waveform 1	1	6.855680272	6.919535147	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.8557		1.0000	
7	Spectrogram 1	1	6.855680272	6.919535147	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.8557		1.0000	
8	Waveform 1	1	8.330147392	8.394002268	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	8.3301		1.0000	
8	Spectrogram 1	1	8.330147392	8.394002268	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	8.3301		1.0000	
9	Waveform 1	1	9.195090703	9.299580499	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	9.1951		1.0000	
9	Spectrogram 1	1	9.195090703	9.299580499	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	9.1951		1.0000	
10	Waveform 1	1	9.822029478	9.932324263	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	9.8220		1.0000	
10	Spectrogram 1	1	9.822029478	9.932324263	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	9.8220		1.0000	
11	Waveform 1	1	10.100668934	10.141303855	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.1007		1.0000	
11	Spectrogram 1	1	10.100668934	10.141303855	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.1007		1.0000	
12	Waveform 1	1	10.379308390	10.657947846	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.3793		1.0000	
12	Spectrogram 1	1	10.379308390	10.657947846	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.3793		1.0000	
13	Waveform 1	1	10.663752834	10.774047619	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.6638		1.0000	
13	Spectrogram 1	1	10.663752834	10.774047619	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	10.6638		1.0000	
14	Waveform 1	1	12.312369615	12.416859410	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	12.3124		1.0000	
14	Spectrogram 1	1	12.312369615	12.416859410	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	12.3124		1.0000	
15	Waveform 1	1	13.781031746	13.868106576	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	13.7810		1.0000	
15	Spectrogram 1	1	13.781031746	13.868106576	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	13.7810		1.0000	
16	Waveform 1	1	15.319353741	15.400623583	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.3194		1.0000	
16	Spectrogram 1	1	15.319353741	15.400623583	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.3194		1.0000	
17	Waveform 1	1	15.714092971	15.795362812	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.7141		1.0000	
17	Spectrogram 1	1	15.714092971	15.795362812	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.7141		1.0000	
18	Waveform 1	1	15.934682540	16.015952381	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.9347		1.0000	
18	Spectrogram 1	1	15.934682540	16.015952381	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	15.9347		1.0000	
19	Waveform 1	1	16.114637188	16.195907029	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.1146		1.0000	
19	Spectrogram 1	1	16.114637188	16.195907029	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.1146		1.0000	
20	Waveform 1	1	16.271371882	16.358446712	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.2714		1.0000	
20	Spectrogram 1	1	16.271371882	16.358446712	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.2714		1.0000	
21	Waveform 1	1	16.381666667	16.555816327	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.3817		1.0000	
21	Spectrogram 1	1	16.381666667	16.555816327	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.3817		1.0000	
22	Waveform 1	1	16.596451247	16.700941043	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.5965		1.0000	
22	Spectrogram 1	1	16.596451247	16.700941043	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.5965		1.0000	
23	Waveform 1	1	16.724160998	16.863480726	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.7242		1.0000	
23	Spectrogram 1	1	16.724160998	16.863480726	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.7242		1.0000	
24	Waveform 1	1	16.892505669	17.055045351	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.8925		1.0000	
24	Spectrogram 1	1	16.892505669	17.055045351	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	16.8925		1.0000	
25	Waveform 1	1	17.136315193	17.310464853	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.1363		1.0000	
25	Spectrogram 1	1	17.136315193	17.310464853	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.1363		1.0000	
26	Waveform 1	1	17.351099773	17.467199546	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.3511		1.0000	
26	Spectrogram 1	1	17.351099773	17.467199546	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.3511		1.0000	
27	Waveform 1	1	17.484614512	17.623934240	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.4846		1.0000	
27	Spectrogram 1	1	17.484614512	17.623934240	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.4846		1.0000	
28	Waveform 1	1	17.652959184	17.821303855	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.6530		1.0000	
28	Spectrogram 1	1	17.652959184	17.821303855	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	17.6530		1.0000	
29	Waveform 1	1	18.848786848	18.930056689	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	18.8488		1.0000	
29	Spectrogram 1	1	18.848786848	18.930056689	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	18.8488		1.0000	
30	Waveform 1	1	18.964886621	19.139036281	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	18.9649		1.0000	
30	Spectrogram 1	1	18.964886621	19.139036281	800.0	10000.0	Ag13_43421.27975590_11_17_7_46_15.wav	18.9649		1.0000	
