Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Frame Duration	Occupancy	Reason
1	Waveform 1	1	0.371507937	0.423752834	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	0.3715	9	1.0000	Detection
1	Spectrogram 1	1	0.371507937	0.423752834	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	0.3715	9	1.0000	Detection
2	Waveform 1	1	1.091326531	1.178401361	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	1.0913	15	1.0000	Detection
2	Spectrogram 1	1	1.091326531	1.178401361	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	1.0913	15	1.0000	Detection
3	Waveform 1	1	1.201621315	1.224841270	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	1.2016	4	0.5000	Too short
3	Spectrogram 1	1	1.201621315	1.224841270	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	1.2016	4	0.5000	Too short
4	Waveform 1	1	3.186927438	3.372687075	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.1869	32	0.9375	Detection
4	Spectrogram 1	1	3.186927438	3.372687075	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.1869	32	0.9375	Detection
5	Waveform 1	1	3.610691610	3.668741497	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.6107	10	1.0000	Detection
5	Spectrogram 1	1	3.610691610	3.668741497	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	3.6107	10	1.0000	Detection
6	Waveform 1	1	5.079353741	5.172233560	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	5.0794	16	1.0000	Detection
6	Spectrogram 1	1	5.079353741	5.172233560	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	5.0794	16	1.0000	Detection
7	Waveform 1	1	5.590192744	5.648242630	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	5.5902	10	1.0000	Detection
7	Spectrogram 1	1	5.590192744	5.648242630	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	5.5902	10	1.0000	Detection
8	Waveform 1	1	6.559625850	6.774410431	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.5596	37	0.8649	Detection
8	Spectrogram 1	1	6.559625850	6.774410431	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.5596	37	0.8649	Detection
9	Waveform 1	1	6.809240363	6.913730159	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.8093	18	1.0000	Detection
9	Spectrogram 1	1	6.809240363	6.913730159	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	6.8093	18	1.0000	Detection
10	Waveform 1	1	7.947018141	8.005068027	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	7.9470	10	1.0000	Detection
10	Spectrogram 1	1	7.947018141	8.005068027	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	7.9470	10	1.0000	Detection
11	Waveform 1	1	8.312732426	8.394002268	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	8.3127	14	1.0000	Detection
11	Spectrogram 1	1	8.312732426	8.394002268	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	8.3127	14	1.0000	Detection
12	Waveform 1	1	8.753911565	8.771326531	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	8.7539	3	1.0000	Too short
12	Spectrogram 1	1	8.753911565	8.771326531	0.8	22000.0	Ag13_43421.27975590_11_17_7_46_15.wav	8.7539	3	1.0000	Too short
