Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin File	File Offset (s)	Occupancy
1	Spectrogram 1	1	6.405884354	6.513594104	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	6.4059	1.0000
2	Spectrogram 1	1	6.893412698	7.188197279	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	6.8934	1.0000
3	Spectrogram 1	1	7.233548753	7.437630385	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	7.2336	0.9722
4	Spectrogram 1	1	7.908151927	7.976179138	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	7.9082	0.8333
5	Spectrogram 1	1	8.214274376	8.265294785	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	8.2143	1.0000
6	Spectrogram 1	1	10.272097506	10.317448980	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	10.2721	1.0000
7	Spectrogram 1	1	10.612233560	10.668922902	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	10.6122	0.8000
8	Spectrogram 1	1	10.827653061	10.873004535	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	10.8277	1.0000
9	Spectrogram 1	1	11.009058957	11.054410431	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	11.0091	1.0000
10	Spectrogram 1	1	11.133775510	11.201802721	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	11.1338	0.7500
11	Spectrogram 1	1	11.332188209	11.377539683	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	11.3322	1.0000
12	Spectrogram 1	1	11.417222222	11.456904762	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	11.4172	1.0000
13	Spectrogram 1	1	13.690464853	13.735816327	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	13.6905	1.0000
14	Spectrogram 1	1	13.775498866	14.019263039	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	13.7755	0.9767
15	Spectrogram 1	1	14.058945578	14.160986395	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	14.0590	1.0000
16	Spectrogram 1	1	14.195000000	14.438764172	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	14.1950	0.9302
17	Spectrogram 1	1	14.461439909	14.614501134	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	14.4615	1.0000
18	Spectrogram 1	1	14.659852608	14.773231293	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	14.6599	0.9000
19	Spectrogram 1	1	14.812913832	14.920623583	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	14.8129	1.0000
20	Spectrogram 1	1	14.954637188	15.379807256	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	14.9546	0.9200
21	Spectrogram 1	1	15.538537415	15.589557823	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	15.5385	1.0000
22	Spectrogram 1	1	15.640578231	15.714274376	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	15.6406	1.0000
23	Spectrogram 1	1	15.753956916	15.855997732	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	15.7540	1.0000
24	Spectrogram 1	1	15.890011338	16.343526077	800.0	22000.0	BRN7_43435.27985312_12_1_7_46_25.wav	15.8900	1.0000
25	Spectrogram 1	1	18.656451247	18.735816327	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	0.3520	1.0000
26	Spectrogram 1	1	18.871870748	18.990918367	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	0.5675	1.0000
27	Spectrogram 1	1	19.024931973	19.155317460	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	0.7205	1.0000
28	Spectrogram 1	1	20.255090703	20.368469388	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	1.9507	1.0000
29	Spectrogram 1	1	20.487517007	20.606564626	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	2.1831	1.0000
30	Spectrogram 1	1	21.043072562	21.162120181	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	2.7387	1.0000
31	Spectrogram 1	1	21.190464853	21.320850340	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	2.8861	0.9565
32	Spectrogram 1	1	22.312913832	22.471643991	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	4.0085	0.8929
33	Spectrogram 1	1	22.494319728	22.692732426	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	4.1899	1.0000
34	Spectrogram 1	1	22.715408163	22.834455782	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	4.4110	1.0000
35	Spectrogram 1	1	22.874138322	23.032868481	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	4.5697	0.8929
36	Spectrogram 1	1	23.061213152	23.401349206	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	4.7568	0.9500
37	Spectrogram 1	1	23.446700680	23.531734694	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	5.1423	1.0000
38	Spectrogram 1	1	23.622437642	23.684795918	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	5.3180	1.0000
39	Spectrogram 1	1	24.642845805	25.158718821	800.0	22000.0	Gry35HP_43455.29800260_12_21_8_16_40.wav	6.3385	1.0000
40	Spectrogram 1	1	27.488650794	27.568015873	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	0.3692	1.0000
41	Spectrogram 1	1	27.630374150	27.709739229	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	0.5109	1.0000
42	Spectrogram 1	1	27.783435374	27.862800454	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	0.6640	1.0000
43	Spectrogram 1	1	27.930827664	28.361666667	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	0.8114	0.9737
44	Spectrogram 1	1	28.435362812	28.866201814	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	1.3159	0.9737
45	Spectrogram 1	1	29.121303855	29.546473923	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	2.0019	0.9733
46	Spectrogram 1	1	29.625839002	30.062346939	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	2.5064	0.9740
47	Spectrogram 1	1	30.300442177	30.742619048	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	3.1810	1.0000
48	Spectrogram 1	1	31.014727891	31.496587302	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	3.8953	0.9529
49	Spectrogram 1	1	31.547607710	31.995453515	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	4.4282	1.0000
50	Spectrogram 1	1	32.602029478	32.704070295	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	5.4826	0.8333
51	Spectrogram 1	1	32.766428571	33.231281179	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	5.6470	0.9634
52	Spectrogram 1	1	33.276632653	33.724478458	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	6.1572	1.0000
53	Spectrogram 1	1	34.217675737	34.705204082	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	7.0982	0.9535
54	Spectrogram 1	1	35.153049887	35.634909297	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	8.0336	0.9529
55	Spectrogram 1	1	35.697267574	36.145113379	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	8.5778	1.0000
56	Spectrogram 1	1	36.859399093	36.944433107	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	9.7400	1.0000
57	Spectrogram 1	1	37.103163265	37.301575964	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	9.9837	0.8000
58	Spectrogram 1	1	38.543072562	38.628106576	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	11.4236	1.0000
59	Spectrogram 1	1	39.314047619	39.529467120	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	12.1946	0.8421
60	Spectrogram 1	1	39.642845805	39.807244898	800.0	22000.0	db1_43427.28100313_11_23_7_48_20.wav	12.5234	1.0000
