"original.sound.files","sound.files","start","end"
"Ag13_43421.27975590_11_17_7_46_15.wav","Ag13_43421.27975590_11_17_7_46_15-1.wav",0,5
"Ag13_43421.27975590_11_17_7_46_15.wav","Ag13_43421.27975590_11_17_7_46_15-2.wav",5,10
"Ag13_43421.27975590_11_17_7_46_15.wav","Ag13_43421.27975590_11_17_7_46_15-3.wav",10,15
"Ag13_43421.27975590_11_17_7_46_15.wav","Ag13_43421.27975590_11_17_7_46_15-4.wav",15,20
"Ag13_43421.27975590_11_17_7_46_15.wav","Ag13_43421.27975590_11_17_7_46_15-5.wav",20,21.7613832199546
"Blk109Brn_43559.32349131_4_4_8_59_9.wav","Blk109Brn_43559.32349131_4_4_8_59_9-1.wav",0,5
"Blk109Brn_43559.32349131_4_4_8_59_9.wav","Blk109Brn_43559.32349131_4_4_8_59_9-2.wav",5,6.75569160997732
"BRN7_43435.27985312_12_1_7_46_25.wav","BRN7_43435.27985312_12_1_7_46_25-1.wav",0,5
"BRN7_43435.27985312_12_1_7_46_25.wav","BRN7_43435.27985312_12_1_7_46_25-2.wav",5,10
"BRN7_43435.27985312_12_1_7_46_25.wav","BRN7_43435.27985312_12_1_7_46_25-3.wav",10,15
"BRN7_43435.27985312_12_1_7_46_25.wav","BRN7_43435.27985312_12_1_7_46_25-4.wav",15,18.3043990929705
"db1_43427.28100313_11_23_7_48_20.wav","db1_43427.28100313_11_23_7_48_20-1.wav",0,5
"db1_43427.28100313_11_23_7_48_20.wav","db1_43427.28100313_11_23_7_48_20-2.wav",5,10
"db1_43427.28100313_11_23_7_48_20.wav","db1_43427.28100313_11_23_7_48_20-3.wav",10,15
"db1_43427.28100313_11_23_7_48_20.wav","db1_43427.28100313_11_23_7_48_20-4.wav",15,16.5010430839002
"DB118_43568.33139566_4_13_9_12_19.wav","DB118_43568.33139566_4_13_9_12_19-1.wav",0,5
"DB118_43568.33139566_4_13_9_12_19.wav","DB118_43568.33139566_4_13_9_12_19-2.wav",5,8.39170068027211
"DB15HP_43450.29217192_12_16_8_6_57.wav","DB15HP_43450.29217192_12_16_8_6_57-1.wav",0,5
"DB15HP_43450.29217192_12_16_8_6_57.wav","DB15HP_43450.29217192_12_16_8_6_57-2.wav",5,10
"DB15HP_43450.29217192_12_16_8_6_57.wav","DB15HP_43450.29217192_12_16_8_6_57-3.wav",10,10.2044444444444
"DB7_43357.58119484_9_14_16_8_39.wav","DB7_43357.58119484_9_14_16_8_39-1.wav",0,5
"DB7_43357.58119484_9_14_16_8_39.wav","DB7_43357.58119484_9_14_16_8_39-2.wav",5,7.10977324263039
"DG124DB_43559.30160960_4_4_8_22_40.wav","DG124DB_43559.30160960_4_4_8_22_40-1.wav",0,5
"DG124DB_43559.30160960_4_4_8_22_40.wav","DG124DB_43559.30160960_4_4_8_22_40-2.wav",5,10
"DG124DB_43559.30160960_4_4_8_22_40.wav","DG124DB_43559.30160960_4_4_8_22_40-3.wav",10,15
"DG124DB_43559.30160960_4_4_8_22_40.wav","DG124DB_43559.30160960_4_4_8_22_40-4.wav",15,17.4426757369615
"Gold183_43555.5549813_3_31_1_32_29.wav","Gold183_43555.5549813_3_31_1_32_29.wav",0,2.63414965986395
"Gry35HP_43455.29800260_12_21_8_16_40.wav","Gry35HP_43455.29800260_12_21_8_16_40-1.wav",0,5
"Gry35HP_43455.29800260_12_21_8_16_40.wav","Gry35HP_43455.29800260_12_21_8_16_40-2.wav",5,8.8150566893424
"GRY37HP_43442.27431670_12_8_7_37_11.wav","GRY37HP_43442.27431670_12_8_7_37_11-1.wav",0,5
"GRY37HP_43442.27431670_12_8_7_37_11.wav","GRY37HP_43442.27431670_12_8_7_37_11-2.wav",5,10
"GRY37HP_43442.27431670_12_8_7_37_11.wav","GRY37HP_43442.27431670_12_8_7_37_11-3.wav",10,15
"GRY37HP_43442.27431670_12_8_7_37_11.wav","GRY37HP_43442.27431670_12_8_7_37_11-4.wav",15,15.28
"HP23HP_43463.28700702_12_29_7_58_20.wav","HP23HP_43463.28700702_12_29_7_58_20-1.wav",0,5
"HP23HP_43463.28700702_12_29_7_58_20.wav","HP23HP_43463.28700702_12_29_7_58_20-2.wav",5,10
"HP23HP_43463.28700702_12_29_7_58_20.wav","HP23HP_43463.28700702_12_29_7_58_20-3.wav",10,11.2927891156463
"LB18_43505.28993133_2_9_8_3_13.wav","LB18_43505.28993133_2_9_8_3_13-1.wav",0,5
"LB18_43505.28993133_2_9_8_3_13.wav","LB18_43505.28993133_2_9_8_3_13-2.wav",5,10
"LB18_43505.28993133_2_9_8_3_13.wav","LB18_43505.28993133_2_9_8_3_13-3.wav",10,15
"LB18_43505.28993133_2_9_8_3_13.wav","LB18_43505.28993133_2_9_8_3_13-4.wav",15,20
"LB18_43505.28993133_2_9_8_3_13.wav","LB18_43505.28993133_2_9_8_3_13-5.wav",20,21.7261451247166
"LB80R_43560.32514807_4_5_9_1_54.wav","LB80R_43560.32514807_4_5_9_1_54-1.wav",0,5
"LB80R_43560.32514807_4_5_9_1_54.wav","LB80R_43560.32514807_4_5_9_1_54-2.wav",5,10
"LB80R_43560.32514807_4_5_9_1_54.wav","LB80R_43560.32514807_4_5_9_1_54-3.wav",10,10.8540136054422
"LIME3_43372.31656767_9_29_8_47_36.wav","LIME3_43372.31656767_9_29_8_47_36-1.wav",0,5
"LIME3_43372.31656767_9_29_8_47_36.wav","LIME3_43372.31656767_9_29_8_47_36-2.wav",5,6.18959183673469
"R29HP_43442.28304265_12_8_7_51_44.wav","R29HP_43442.28304265_12_8_7_51_44-1.wav",0,5
"R29HP_43442.28304265_12_8_7_51_44.wav","R29HP_43442.28304265_12_8_7_51_44-2.wav",5,10
"R29HP_43442.28304265_12_8_7_51_44.wav","R29HP_43442.28304265_12_8_7_51_44-3.wav",10,14.5950113378685
"R36_43455.29204222_12_21_8_6_44.wav","R36_43455.29204222_12_21_8_6_44-1.wav",0,5
"R36_43455.29204222_12_21_8_6_44.wav","R36_43455.29204222_12_21_8_6_44-2.wav",5,10
"R36_43455.29204222_12_21_8_6_44.wav","R36_43455.29204222_12_21_8_6_44-3.wav",10,10.4926984126984
"R39Y212_43533.30691176_3_9_8_31_31.wav","R39Y212_43533.30691176_3_9_8_31_31-1.wav",0,5
"R39Y212_43533.30691176_3_9_8_31_31.wav","R39Y212_43533.30691176_3_9_8_31_31-2.wav",5,10
"R39Y212_43533.30691176_3_9_8_31_31.wav","R39Y212_43533.30691176_3_9_8_31_31-3.wav",10,11.6310884353741
